Year,LGA,Regional or Metro,Accidents,Fatailities
2016,PORT PHILLIP,METRO,297,0
2016,NORTHERN GRAMPIANS,REGIONAL,42,2
2016,NILLUMBIK,METRO,144,4
2016,MURRINDINDI,REGIONAL,133,5
2016,MOYNE,REGIONAL,46,1
2016,MOUNT ALEXANDER,REGIONAL,48,0
2016,MORNINGTON PENINSULA,METRO,336,10
2016,MORELAND,METRO,430,6
2016,MOORABOOL,REGIONAL,109,6
2016,MOONEE VALLEY,METRO,274,4
2016,MONASH,METRO,466,6
2016,MOIRA,REGIONAL,79,4
2016,MITCHELL,REGIONAL,172,4
2016,MILDURA,REGIONAL,147,3
2016,MELTON,METRO,259,3
2016,MELBOURNE,METRO,826,4
2016,MAROONDAH,METRO,256,2
2016,MARIBYRNONG,METRO,225,1
2016,MANSFIELD,REGIONAL,66,4
2016,MANNINGHAM,METRO,193,4
2016,MACEDON RANGES,REGIONAL,132,1
2016,LODDON,REGIONAL,25,2
2016,LATROBE,REGIONAL,202,5
2016,KNOX,METRO,336,6
2016,KINGSTON,METRO,353,4
2016,INDIGO,REGIONAL,56,7
2016,HUME,METRO,541,4
2016,HORSHAM,REGIONAL,44,3
2016,HOBSONS BAY,METRO,208,2
2016,HINDMARSH,REGIONAL,14,0
2016,HEPBURN,REGIONAL,57,7
2016,GOLDEN PLAINS,REGIONAL,76,1
2016,GLENELG,REGIONAL,42,3
2016,GLEN EIRA,METRO,310,5
2016,GEELONG,REGIONAL,605,11
2016,GANNAWARRA,REGIONAL,20,0
2016,FRANKSTON,METRO,272,3
2016,EAST GIPPSLAND,REGIONAL,164,5
2016,DAREBIN,METRO,385,2
2016,DANDENONG,METRO,574,1
2016,CORANGAMITE,REGIONAL,60,3
2016,COLAC OTWAY,REGIONAL,101,3
2016,CENTRAL GOLDFIELDS,REGIONAL,28,3
2016,CASEY,METRO,695,10
2016,CARDINIA,METRO,252,7
2016,CAMPASPE,REGIONAL,98,2
2016,BULOKE,REGIONAL,21,1
2016,BRIMBANK,METRO,488,15
2016,BOROONDARA,METRO,319,4
2016,BENDIGO,REGIONAL,320,5
2016,BENALLA,REGIONAL,49,0
2016,BAYSIDE,METRO,205,1
2016,BAW BAW,REGIONAL,211,5
2016,BASS COAST,REGIONAL,109,3
2016,BANYULE,METRO,238,2
2016,BALLARAT,REGIONAL,273,7
2016,ARARAT,REGIONAL,34,3
2016,ALPINE,REGIONAL,48,0
2016,(MOUNT HOTHAM),REGIONAL,4,0
2016,(MOUNT BULLER),REGIONAL,2,0
2016,(MOUNT BAW BAW),REGIONAL,2,0
2016,(LAKE MOUNTAIN),REGIONAL,4,0
2016,(FALLS CREEK),REGIONAL,1,0
